video_url,action,reasons
https://github.com/OanaIgnat/miniclips/blob/master/AfAPMyrO_rk+0:05:13+0:05:30.mp4?raw=true,cleaning,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/9nGW7LzgQ0k+0:08:03+0:08:27.mp4?raw=true,cleaning,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/axM7FlN5wkA+0:05:37+0:05:58.mp4?raw=true,cleaning,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/axM7FlN5wkA+0:08:05+0:08:37.mp4?raw=true,cleaning,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/IZj2IC2iUCE+0:01:16+0:01:55.mp4?raw=true,cleaning,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/Rv25fPrGMDo+0:01:14+0:02:02.mp4?raw=true,reading,"['learn', 'appreciate', 'bored', 'appear cultured to opposite sex', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/Rv25fPrGMDo+0:10:28+0:10:56.mp4?raw=true,reading,"['learn', 'appreciate', 'bored', 'appear cultured to opposite sex', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/XxS6FD4zQ9c+0:05:34+0:06:11.mp4?raw=true,reading,"['learn', 'appreciate', 'bored', 'appear cultured to opposite sex', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/USSrFJKTY3c+0:03:15+0:03:39.mp4?raw=true,reading,"['learn', 'appreciate', 'bored', 'appear cultured to opposite sex', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/JErXE1BmKR0+0:11:44+0:12:10.mp4?raw=true,reading,"['learn', 'appreciate', 'bored', 'appear cultured to opposite sex', 'entertained', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/djf79no_Gig+0:09:52+0:10:56.mp4?raw=true,writing,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/6hrLQWZ9ZPA+0:03:28+0:04:09.mp4?raw=true,writing,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/QADa8CzlKpw+0:10:58+0:11:43.mp4?raw=true,writing,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/P8L7lrZVwsE+0:05:14+0:05:48.mp4?raw=true,writing,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']"
https://github.com/OanaIgnat/miniclips/blob/master/N5VUf_Ok85s+0:03:06+0:03:53.mp4?raw=true,writing,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']"
