video_url,action,reasons
https://github.com/OanaIgnat/miniclips/blob/master/Ivs4_rVTvaQ||0:05:32||0:05:55.mp4?raw=true,clean,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming']"
https://github.com/OanaIgnat/miniclips/blob/master/FYAsXzrjStc||0:07:49||0:08:10.mp4?raw=true,clean,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming']"
https://github.com/OanaIgnat/miniclips/blob/master/TwBj3_1npbM||0:11:40||0:12:05.mp4?raw=true,clean,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming']"
https://github.com/OanaIgnat/miniclips/blob/master/G10p4pAT5rI||0:00:35||0:01:09.mp4?raw=true,clean,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming']"
https://github.com/OanaIgnat/miniclips/blob/master/tZdil1pah_Y||0:00:26||0:01:00.mp4?raw=true,clean,"['remove dirt', 'do not like dirtiness', 'declutter', 'company was coming']"
https://github.com/OanaIgnat/miniclips/blob/master/F2E11IY_bpk||0:01:53||0:02:13.mp4?raw=true,read,"['learn', 'appreciate great works of fiction', 'bored', 'appear cultured to opposite sex', 'entertained']"
https://github.com/OanaIgnat/miniclips/blob/master/F2E11IY_bpk||0:10:14||0:10:44.mp4?raw=true,read,"['learn', 'appreciate great works of fiction', 'bored', 'appear cultured to opposite sex', 'entertained']"
https://github.com/OanaIgnat/miniclips/blob/master/Ycb1bBjd4sk||0:10:29||0:11:06.mp4?raw=true,read,"['learn', 'appreciate great works of fiction', 'bored', 'appear cultured to opposite sex', 'entertained']"
https://github.com/OanaIgnat/miniclips/blob/master/Ycb1bBjd4sk||0:11:13||0:11:40.mp4?raw=true,read,"['learn', 'appreciate great works of fiction', 'bored', 'appear cultured to opposite sex', 'entertained']"
https://github.com/OanaIgnat/miniclips/blob/master/1D-ikSVyBO8||0:08:38||0:09:14.mp4?raw=true,read,"['learn', 'appreciate great works of fiction', 'bored', 'appear cultured to opposite sex', 'entertained']"
https://github.com/OanaIgnat/miniclips/blob/master/4Ahb4xfh0Jo||0:05:05||0:06:04.mp4?raw=true,write,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself']"
https://github.com/OanaIgnat/miniclips/blob/master/Ycb1bBjd4sk||0:10:29||0:11:06.mp4?raw=true,write,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself']"
https://github.com/OanaIgnat/miniclips/blob/master/THqf0jCNzgk||0:02:47||0:03:21.mp4?raw=true,write,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself']"
https://github.com/OanaIgnat/miniclips/blob/master/hUIVi62_e1o||0:06:11||0:06:37.mp4?raw=true,write,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself']"
https://github.com/OanaIgnat/miniclips/blob/master/oCWngAowr0I||0:15:10||0:15:36.mp4?raw=true,write,"['have story to tell', 'remember', 'famous', 'create novel', 'express yourself']"
