video1,video2,video3,video4,video5,action1,action2,action3,action4,action5,reason1,reason2,reason3,reason4,reason5
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:11+0:05:51.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ojPj7o1rc1k+0:03:49+0:04:15.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/B4KEUJMlY_4+0:12:37+0:13:09.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ji3e_2B2nUo+0:02:52+0:03:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:20+0:05:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/uKdbPxIjeXM+0:03:56+0:04:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/0kHD7jHIWiw+0:06:35+0:07:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xFzbaSeMGJ0+0:13:10+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/2qrYcB0X8lY+0:10:57+0:11:21.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/QYue-Z8M6HQ+0:03:10+0:03:35.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/6B9piJNFS3s+0:18:14+0:18:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/J_JautqjNrE+0:00:31+0:01:19.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/f1GHSOPe31o+0:01:10+0:01:45.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:25.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/JN6Krne5y8k+0:13:08+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/oCWngAowr0I+0:15:10+0:15:36.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/f1GHSOPe31o+0:06:30+0:06:52.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/3Ih-TZ1_7xU+0:07:00+0:07:36.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/sKBk5Pu7zm0+0:06:37+0:07:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video5.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/oCWngAowr0I+0:15:12+0:15:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/Dxf9ZthO15o+0:08:52+0:09:19.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/3Ih-TZ1_7xU+0:10:47+0:11:25.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/5k7zQ4En9Tw+0:09:06+0:09:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/sdpgp9CJePE+0:04:09+0:04:41.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/j3vn_DA_HTo+0:03:36+0:04:00.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/8zy73xW9bxA+0:11:19+0:11:57.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/qIGEGwURMR0+0:04:09+0:04:30.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/GsypRSgrAHA+0:05:30+0:06:10.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/T5RcKphWPgk+0:01:26+0:02:05.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/sdpgp9CJePE+0:09:14+0:09:38.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/6D0AdESYsF4+0:00:08+0:00:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/44gfylV7NSg+0:12:36+0:13:09.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/T5RcKphWPgk+0:01:36+0:02:24.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/SJL1q8W5sKA+0:00:08+0:01:13.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ehfDTIYet_M+0:02:58+0:03:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
https://github.com/OanaIgnat/miniclips/blob/main/no_check/6yKz3OWC2Ko+0:05:01+0:05:43.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/dPbO_ZcRZOo+0:05:41+0:06:09.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/5k7zQ4En9Tw+0:04:17+0:04:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/lQMISyOonss+0:03:05+0:03:39.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video5.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']"
