Input.video1,Input.video2,Input.video3,Input.video4,Input.video5,Input.action1,Input.action2,Input.action3,Input.action4,Input.action5,Input.reason1,Input.reason2,Input.reason3,Input.reason4,Input.reason5,Answer.category1.labels,Answer.category2.labels,Answer.category3.labels,Answer.category4.labels,Answer.category5.labels,Answer.others1,Answer.others2,Answer.others3,Answer.others4,Answer.others5,Answer.confidence1.high.on,Answer.confidence2.high.on,Answer.confidence3.high.on,Answer.confidence4.high.on,Answer.confidence5.high.on,Answer.why1,Answer.why2,Answer.why3,Answer.why4,Answer.why5,Answer.comment1,Answer.comment2,Answer.comment3,Answer.comment4,Answer.comment5
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:11+0:05:51.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ojPj7o1rc1k+0:03:49+0:04:15.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/B4KEUJMlY_4+0:12:37+0:13:09.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ji3e_2B2nUo+0:02:52+0:03:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['express yourself'],['be productive'],"['learn from', 'use later']","['exciting', 'fun']",['cleanse face'],none,none,none,none,none,True,False,False,True,True,mentioned,mentioned,mentioned,both,both,na,na,na,na,na
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:11+0:05:51.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ojPj7o1rc1k+0:03:49+0:04:15.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/B4KEUJMlY_4+0:12:37+0:13:09.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/ji3e_2B2nUo+0:02:52+0:03:27.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video1.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['create novel'],['learn'],['was memorable'],"['change your mind', 'fun']",['cleanse face'],none,none,none,none,none,True,True,True,True,True,both,both,shown,both,both,sound delay.,sound delay.,sound delay.,sound delay.,sound delay.
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:20+0:05:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/uKdbPxIjeXM+0:03:56+0:04:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/0kHD7jHIWiw+0:06:35+0:07:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xFzbaSeMGJ0+0:13:10+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['express yourself', 'plan the day', 'remember']","['be productive', 'learn', 'listen to music']","['learn from', 'was interesting', 'was memorable']","['fickle', 'fun', 'make improvement']",['cleanse face'],none,none,none,none,none,True,False,False,False,True,mentioned,mentioned,both,shown,shown,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:20+0:05:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/uKdbPxIjeXM+0:03:56+0:04:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/0kHD7jHIWiw+0:06:35+0:07:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xFzbaSeMGJ0+0:13:10+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['plan the day', 'remember']",['learn'],['learn from'],"['change your mind', 'make improvement']",['cleanse face'],none,none,none,none,none,True,True,True,True,True,mentioned,mentioned,mentioned,both,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/fX1BS9Pv1kE+0:05:20+0:05:56.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/uKdbPxIjeXM+0:03:56+0:04:50.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/0kHD7jHIWiw+0:06:35+0:07:01.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/xFzbaSeMGJ0+0:13:10+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video2.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['express yourself', 'remember']",['learn'],['was memorable'],['make improvement'],['cleanse face'],none,none,none,none,none,True,False,True,True,True,mentioned,mentioned,both,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/2qrYcB0X8lY+0:10:57+0:11:21.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/QYue-Z8M6HQ+0:03:10+0:03:35.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/6B9piJNFS3s+0:18:14+0:18:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']","['famous', 'remember']","['be productive', 'listen to music']","['was interesting', 'was memorable']","['change your mind', 'exciting', 'fun']","['clean arms and chest', 'put on mask', 'remove mask']",none,none,none,none,none,True,True,True,True,True,mentioned,mentioned,mentioned,mentioned,mentioned,good,good,good,good,good
https://github.com/OanaIgnat/miniclips/blob/main/no_check/2qrYcB0X8lY+0:10:57+0:11:21.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/QYue-Z8M6HQ+0:03:10+0:03:35.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/6B9piJNFS3s+0:18:14+0:18:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['plan the day'],['be productive'],"['learn from', 'was memorable']",['fickle'],"['cleanse face', 'put on mask']",none,none,none,none,none,True,False,False,False,True,both,mentioned,mentioned,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/2qrYcB0X8lY+0:10:57+0:11:21.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/QYue-Z8M6HQ+0:03:10+0:03:35.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:22.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/6B9piJNFS3s+0:18:14+0:18:37.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video3.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['express yourself'],['learn'],['learn from'],['fickle'],['put on mask'],none,none,none,none,none,False,True,True,True,True,both,mentioned,mentioned,mentioned,both,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/J_JautqjNrE+0:00:31+0:01:19.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/f1GHSOPe31o+0:01:10+0:01:45.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:25.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/JN6Krne5y8k+0:13:08+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['express yourself'],['be productive'],['was memorable'],['change your mind'],['clean arms and chest'],none,none,none,none,none,False,True,True,True,True,mentioned,mentioned,mentioned,mentioned,mentioned,none,none,none,none,none
https://github.com/OanaIgnat/miniclips/blob/main/no_check/J_JautqjNrE+0:00:31+0:01:19.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/f1GHSOPe31o+0:01:10+0:01:45.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/-cOwg-m_uWI+0:00:46+0:01:25.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/no_check/JN6Krne5y8k+0:13:08+0:13:46.mp4?raw=true,https://github.com/OanaIgnat/miniclips/blob/main/spam_check/spam_video4.mp4?raw=true,writing,listening,remembering,switching,cleaning,"['create novel', 'create music', 'plan the day', 'remember', 'famous', 'express yourself', 'I cannot find any reason mentioned verbally or shown visually in the video']","['listen to music', 'be productive', 'learn', 'obey', 'enjoy', 'hear what saying', 'I cannot find any reason mentioned verbally or shown visually in the video']","['was memorable', 'was interesting', 'learn from', 'use later', 'I cannot find any reason mentioned verbally or shown visually in the video']","['fickle', 'change your mind', 'exciting', 'fun', 'make improvement', 'do not like', 'I cannot find any reason mentioned verbally or shown visually in the video']","['remove mask', 'clean arms and chest', 'put on mask', 'cleanse face', 'other (please write them in the provided box)']",['express yourself'],"['hear what saying', 'learn']","['was interesting', 'was memorable']","['change your mind', 'make improvement']",['clean arms and chest'],none,none,none,none,none,True,False,True,True,True,both,mentioned,mentioned,mentioned,both,na,na,na,na,na
